idx	true	num_true	predicted	num_found	correct	missed	extra
205	nan	1	nan	0.0	1	0	0
206	nan	1	nan	0.0	1	0	0
207	nan	1	nan	0.0	1	0	0
208	corona	1	corona	1.0	1	0	0
209	samuel_adams,samuel_adams,coors	3	zz_unbranded	1.0	0	3	1
210	michelob	1	michelob	1.0	1	0	0
211	modelo,modelo,modelo,modelo,modelo,modelo,modelo,modelo,modelo,modelo,modelo,modelo,modelo	13	modelo, modelo, modelo	3.0	1	12	2
212	popeyes	1	zz_unbranded	1.0	0	1	1
213	bud_light,bud_light,bud_light	3	bud_light	1.0	1	2	0
214	nan	1	nan	0.0	1	0	0
215	nan	1	nan	0.0	1	0	0
216	nan	1	bud_light	1.0	0	0	1
217	nan	1	nan	0.0	1	0	0
218	burger_king	1	zz_unbranded	1.0	0	1	1
219	la_yogurt	1	3_musketeers, zz_unbranded	2.0	0	1	2
220	nan	1	nan	0.0	1	0	0
221	bud_light	1	bud_light	1.0	1	0	0
222	nan	1	nan	0.0	1	0	0
223	nan	1	nan	0.0	1	0	0
224	nan	1	nan	0.0	1	0	0
225	nan	1	nan	0.0	1	0	0
226	nan	1	nan	0.0	1	0	0
227	new_amsterdam	1	nan	0.0	0	1	0
228	oreo	1	zz_unbranded, zz_unbranded	2.0	0	1	2
229	corona	1	corona	1.0	1	0	0
230	modelo	1	zz_unbranded	1.0	0	1	1
231	nan	1	zz_unbranded	1.0	0	0	1
232	nan	1	zz_unbranded	1.0	0	0	1
233	corona,corona,heineken,heineken,bud_light,bud_light,stella,stella,camel,camel,jarritos,miller,sangria_senorial	13	nan	0.0	0	13	0
234	corona,heineken,heineken,heineken	4	heineken, heineken, corona	3.0	1	3	2
235	nan	1	zz_unbranded	1.0	0	0	1
236	gatorade	1	nan	0.0	0	1	0
237	nan	1	nan	0.0	1	0	0
238	nan	1	nan	0.0	1	0	0
239	coca_cola	1	coca_cola	1.0	1	0	0
240	corona	1	zz_unbranded	1.0	0	1	1
241	nan	1	zz_unbranded	1.0	0	0	1
242	nan	1	nan	0.0	1	0	0
243	fanta	1	zz_unbranded	1.0	0	1	1
244	kirkland	1	nan	0.0	0	1	0
245	nan	1	nan	0.0	1	0	0
246	icehouse_edge	1	nan	0.0	0	1	0
247	mcdonalds,kirkland	2	zz_unbranded, zz_unbranded	2.0	0	2	2
248	nan	1	nan	0.0	1	0	0
249	jim_beam	1	zz_unbranded	1.0	0	1	1
250	peaceful_fruits	1	zz_unbranded	1.0	0	1	1
251	heineken,heineken	2	heineken, heineken, heineken, heineken	4.0	1	1	3
252	bud_light	1	zz_unbranded	1.0	0	1	1
253	grace	1	zz_unbranded	1.0	0	1	1
254	nan	1	nan	0.0	1	0	0
255	coca_cola	1	coca_cola	1.0	1	0	0
256	nan	1	corona	1.0	0	0	1
257	nan	1	zz_unbranded	1.0	0	0	1
258	coca_cola	1	modelo, coca_cola	2.0	0	1	2
259	pacifico	1	pacifico	1.0	1	0	0
260	gatorade	1	nan	0.0	0	1	0
261	nan	1	heineken	1.0	0	0	1
262	sams_club	1	nan	0.0	0	1	0
263	nan	1	nan	0.0	1	0	0
264	dasani,heineken	2	zz_unbranded, zz_unbranded, corona	3.0	0	2	3
265	heineken,popeyes	2	heineken	1.0	1	1	0
266	parliament	1	nan	0.0	0	1	0
267	acadia	1	nan	0.0	0	1	0
268	nan	1	zz_unbranded	1.0	0	0	1
269	nan	1	zz_unbranded	1.0	0	0	1
270	heineken	1	heineken	1.0	1	0	0
271	nan	1	lays	1.0	0	0	1
272	nan	1	zz_unbranded	1.0	0	0	1
273	nan	1	nan	0.0	1	0	0
274	nan	1	nan	0.0	1	0	0
275	smirnoff	1	zz_unbranded	1.0	0	1	1
276	cheetos	1	zz_unbranded, zz_unbranded, zz_unbranded	3.0	0	1	3
277	fireball,bill_miller,hill country fair	3	zz_unbranded, zz_unbranded	2.0	0	3	2
278	nan	1	zz_unbranded	1.0	0	0	1
279	cheetos	1	cheetos	1.0	1	0	0
280	nan	1	nan	0.0	1	0	0
281	heineken,heineken,heineken,heineken,heineken,heineken,heineken,heineken,heineken,heineken,heineken,heineken,heineken	13	heineken, heineken, heineken, heineken, heineken, heineken, heineken, heineken, heineken, heineken, heineken, heineken, heineken, heineken, heineken, heineken	16.0	1	12	15
282	nan	1	zz_unbranded	1.0	0	0	1
283	heineken	1	heineken, stella	2.0	1	0	1
284	miller	1	modelo, zz_unbranded	2.0	0	1	2
285	corona,corona,corona,heineken	4	heineken, modelo, heineken	3.0	1	3	2
286	nan	1	nan	0.0	1	0	0
287	lybbis	1	zz_unbranded	1.0	0	1	1
288	boulevard_brewing	1	zz_unbranded	1.0	0	1	1
289	nan	1	nan	0.0	1	0	0
290	nan	1	heineken, zz_unbranded	2.0	0	0	2
291	nan	1	corona	1.0	0	0	1
292	david	1	zz_unbranded	1.0	0	1	1
293	corona,corona,corona,corona,corona,corona,corona,corona,corona,corona,corona,corona,corona,heineken,heineken,heineken,heineken,heineken,heineken,heineken,gatorade	21	heineken, heineken, corona	3.0	1	20	2
294	5-hour energy	1	nan	0.0	0	1	0
295	nan	1	zz_unbranded	1.0	0	0	1
